symbol	section	namespace	name	GMSJ01	GMSJ01.size	GMSE01	GMSE01.size	GMSP01	GMSP01.size	GMSJ0A	GMSJ0A.size
@2258	.rodata	Enemy	@2258	8039F870	51	803817A8	51	80379210	51	80371B80	51
@2261	.rodata	Enemy	@2261	8039F8A4	23	803817DC	23	80379244	23	80371BB4	23
entry$2260	.rodata	Enemy	entry$2260	8039F8BC	24	803817F4	24	8037925C	24	80371BCC	24
@2311	.rodata	Enemy	@2311	8039F8D4	19	8038180C	19	80379274	19	80371BE4	19
@2312	.rodata	Enemy	@2312	8039F8E8	19	80381820	19	80379288	19	80371BF8	19
@2380	.rodata	Enemy	@2380	8039F8FC	25	80381834	25	8037929C	25	80371C0C	25
@1490	.rodata	Enemy	@1490	8039F918	12	80381850	12	803792B8	12	80371C28	12
@1526	.rodata	Enemy	@1526	8039F924	20	8038185C	20	803792C4	20	80371C34	20
@1597	.rodata	Enemy	@1597	8039F938	47	80381870	47	803792D8	47	80371C48	47
@1598	.rodata	Enemy	@1598	8039F968	53	803818A0	53	80379308	53	80371C78	53
@1599	.rodata	Enemy	@1599	8039F9A0	49	803818D8	49	80379340	49	80371CB0	49
@1600	.rodata	Enemy	@1600	8039F9D4	36	8038190C	36	80379374	36	80371CE4	36
@2029	.rodata	Enemy	@2029	8039F9F8	15	80381930	15	80379398	15	80371D08	15
@2031	.rodata	Enemy	@2031	8039FA08	18	80381940	18	803793A8	18	80371D18	18
@1490	.rodata	Enemy	@1490	8039FA20	12	80381958	12	803793C0	12	80371D30	12
@1937	.rodata	Enemy	@1937	8039FA2C	20	80381964	20	803793CC	20	80371D3C	20
@2009	.rodata	Enemy	@2009	8039FA40	47	80381978	47	803793E0	47	80371D50	47
@2010	.rodata	Enemy	@2010	8039FA70	53	803819A8	53	80379410	53	80371D80	53
@2011	.rodata	Enemy	@2011	8039FAA8	49	803819E0	49	80379448	49	80371DB8	49
@2012	.rodata	Enemy	@2012	8039FADC	36	80381A14	36	8037947C	36	80371DEC	36
@2333	.rodata	Enemy	@2333	8039FB00	12	80381A38	12	803794A0	12	80371E10	12
@2335	.rodata	Enemy	@2335	8039FB0C	12	80381A44	12	803794AC	12	80371E1C	12
@2759	.rodata	Enemy	@2759	8039FB18	15						
entry$2758	.rodata	Enemy	entry$2758	8039FB28	24						
@2762	.rodata	Enemy	@2762	8039FB40	16						
entry$2761	.rodata	Enemy	entry$2761	8039FB50	24						
@2765	.rodata	Enemy	@2765	8039FB68	16						
entry$2764	.rodata	Enemy	entry$2764	8039FB78	24						
@2769	.rodata	Enemy	@2769	8039FB90	16						
entry$2768	.rodata	Enemy	entry$2768	8039FBA0	24						
@3040	.rodata	Enemy	@3040	8039FBB8	22						
@3041	.rodata	Enemy	@3041	8039FBD0	13						
@3043	.rodata	Enemy	@3043	8039FBE0	12	80381B08	13	80379570	13	80371EE0	13
@3045	.rodata	Enemy	@3045	8039FBEC	16	80381B18	12	80379580	12	80371EF0	12
@3310	.rodata	Enemy	@3310	8039FBFC	11						
@3311	.rodata	Enemy	@3311	8039FC08	12						
@3312	.rodata	Enemy	@3312	8039FC14	12						
@3496	.rodata	Enemy	@3496	8039FC20	18						
@3497	.rodata	Enemy	@3497	8039FC34	15						
@3500	.rodata	Enemy	@3500	8039FC44	19	80381B58	18	803795C0	18	80371F30	18
@3501	.rodata	Enemy	@3501	8039FC58	16	80381B6C	15	803795D4	15	80371F44	15
@3504	.rodata	Enemy	@3504	8039FC68	19	80381B7C	19	803795E4	19	80371F54	19
@3505	.rodata	Enemy	@3505	8039FC7C	16	80381B90	16	803795F8	16	80371F68	16
@3506	.rodata	Enemy	@3506	8039FC8C	19						
@3507	.rodata	Enemy	@3507	8039FCA0	16						
@1490	.rodata	Enemy	@1490	8039FCB0	12	80381BE8	12	80379650	12	80371FC0	12
@1937	.rodata	Enemy	@1937	8039FCBC	20	80381BF4	20	8037965C	20	80371FCC	20
@2004	.rodata	Enemy	@2004	8039FCD0	47	80381C08	47	80379670	47	80371FE0	47
@2005	.rodata	Enemy	@2005	8039FD00	53	80381C38	53	803796A0	53	80372010	53
@2006	.rodata	Enemy	@2006	8039FD38	49	80381C70	49	803796D8	49	80372048	49
@2007	.rodata	Enemy	@2007	8039FD6C	36	80381CA4	36	8037970C	36	8037207C	36
@2351	.rodata	Enemy	@2351	8039FD90	12	80381CC8	12	80379730	12	803720A0	12
@2353	.rodata	Enemy	@2353	8039FD9C	12	80381CD4	12	8037973C	12	803720AC	12
@2704	.rodata	Enemy	@2704	8039FDA8	16	80381CE0	16	80379748	16	803720B8	16
@2705	.rodata	Enemy	@2705	8039FDB8	14	80381CF0	14	80379758	14	803720C8	14
@2706	.rodata	Enemy	@2706	8039FDC8	14	80381D00	14	80379768	14	803720D8	14
@2713	.rodata	Enemy	@2713	8039FDD8	25	80381D10	25	80379778	25	803720E8	25
@2714	.rodata	Enemy	@2714	8039FDF4	25	80381D2C	25	80379794	25	80372104	25
@2715	.rodata	Enemy	@2715	8039FE10	25	80381D48	25	803797B0	25	80372120	25
@2726	.rodata	Enemy	@2726	8039FE2C	19	80381D64	19	803797CC	19	8037213C	19
@2727	.rodata	Enemy	@2727	8039FE40	19	80381D78	19	803797E0	19	80372150	19
@4364	.rodata	Enemy	@4364	8039FE54	19	80381D8C	19	803797F4	19	80372164	19
@4365	.rodata	Enemy	@4365	8039FE68	19	80381DA0	19	80379808	19	80372178	19
@4833	.rodata	Enemy	@4833	8039FE7C	19	80381DB4	19	8037981C	19	8037218C	19
@4834	.rodata	Enemy	@4834	8039FE90	19	80381DC8	19	80379830	19	803721A0	19
@4838	.rodata	Enemy	@4838	8039FEA4	11	80381DDC	11	80379844	11	803721B4	11
@4900	.rodata	Enemy	@4900	8039FEB0	30	80381DE8	30	80379850	30	803721C0	30
@1490	.rodata	Enemy	@1490	8039FED0	12	80381E08	12	80379870	12	803721E0	12
@1937	.rodata	Enemy	@1937	8039FEDC	20	80381E14	20	8037987C	20	803721EC	20
@2220	.rodata	Enemy	@2220	8039FEF0	47	80381E28	47	80379890	47	80372200	47
@2221	.rodata	Enemy	@2221	8039FF20	53	80381E58	53	803798C0	53	80372230	53
@2222	.rodata	Enemy	@2222	8039FF58	49	80381E90	49	803798F8	49	80372268	49
@2223	.rodata	Enemy	@2223	8039FF8C	36	80381EC4	36	8037992C	36	8037229C	36
@2360	.rodata	Enemy	@2360	8039FFB0	12	80381EE8	12	80379950	12	803722C0	12
@2362	.rodata	Enemy	@2362	8039FFBC	12	80381EF4	12	8037995C	12	803722CC	12
@2707	.rodata	Enemy	@2707	8039FFC8	37	80381F00	37	80379968	37	803722D8	37
@2708	.rodata	Enemy	@2708	8039FFF0	37	80381F28	37	80379990	37	80372300	37
sBodyBckIndex$2891	.rodata	Enemy	sBodyBckIndex$2891	803A0018	72	80381F50	72	803799B8	72	80372328	72
sHeadBckIndex$2906	.rodata	Enemy	sHeadBckIndex$2906	803A0060	72	80381F98	72	80379A00	72	80372370	72
sHeadBtpIndex$2907	.rodata	Enemy	sHeadBtpIndex$2907	803A00A8	72	80381FE0	72	80379A48	72	803723B8	72
sHeadBtkIndex$2908	.rodata	Enemy	sHeadBtkIndex$2908	803A00F0	72	80382028	72	80379A90	72	80372400	72
@3645	.rodata	Enemy	@3645	803A0138	19	80382070	19	80379AD8	19	80372448	19
@3718	.rodata	Enemy	@3718	803A014C	23	80382084	23	80379AEC	23	8037245C	23
@1490	.rodata	Enemy	@1490	803A0168	12	803820A0	12	80379B08	12	80372478	12
@1526	.rodata	Enemy	@1526	803A0174	20	803820AC	20	80379B14	20	80372484	20
@1637	.rodata	Enemy	@1637	803A0188	21	803820C0	21	80379B28	21	80372498	21
@1639	.rodata	Enemy	@1639	803A01A0	18	803820D8	18	80379B40	18	803724B0	18
@1641	.rodata	Enemy	@1641	803A01B4	21	803820EC	21	80379B54	21	803724C4	21
@1643	.rodata	Enemy	@1643	803A01CC	20	80382104	20	80379B6C	20	803724DC	20
@1645	.rodata	Enemy	@1645	803A01E0	17	80382118	17	80379B80	17	803724F0	17
